,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
1,1282_279816,Eretmochelys imbricata,2012-06-08T07:06:14/2012-09-15T11:48:16,2012-06-08T07:06:14/2012-09-15T11:48:16,20.5,57.5,111319.49,3,Adult,Female,-51,-46385,NA,NA
2,1255_764977,Eretmochelys imbricata,2010-08-04T09:58:17/2010-08-04T09:58:17,2010-08-04T09:58:17/2010-08-04T09:58:17,23.5,61.5,111319.49,1,Adult,Female,3333,170650,27.01,36.59
3,1257_60031,Eretmochelys imbricata,2011-05-04T12:30:18/2011-05-04T15:48:43,2011-05-04T12:30:18/2011-05-04T15:48:43,23.5,61.5,111319.49,1,Adult,Female,3333,170650,27.01,36.59
4,1282_202691,Eretmochelys imbricata,2013-01-21T19:29:40/2013-03-23T17:25:06,2013-01-21T19:29:40/2013-03-23T17:25:06,27.5,52.5,111319.49,1,Adult,Female,37,6400,27.86,38.43
5,1255_763473,Eretmochelys imbricata,2010-10-19T09:25:35/2010-10-19T09:25:35,2010-10-19T09:25:35/2010-10-19T09:25:35,26.5,47.5,111319.49,1,Adult,Female,-385,-181335,NA,NA
6,1257_80959,Eretmochelys imbricata,2011-05-19T12:21:21/2011-05-19T15:28:49,2011-05-19T12:21:21/2011-05-19T15:28:49,27.5,52.5,111319.49,1,Adult,Female,37,6400,27.86,38.43
7,1255_761361,Eretmochelys imbricata,2010-10-18T09:51:46/2011-10-21T13:42:44,2010-10-18T09:51:46/2011-10-21T13:42:44,26.5,48.5,111319.49,1,Adult,Female,-217,-110064,NA,NA
8,1282_208267,Eretmochelys imbricata,2012-06-10T23:44:50/2012-06-11T06:37:57,2012-06-10T23:44:50/2012-06-11T06:37:57,28.5,49.5,111319.49,1,Adult,Female,48,78815,26.26,38.81
9,1282_216342,Eretmochelys imbricata,2012-09-03T14:04:57/2012-09-03T14:04:57,2012-09-03T14:04:57/2012-09-03T14:04:57,26.5,54.5,111319.49,1,Adult,Female,25,10239,27.98,37.47
10,1255_769170,Eretmochelys imbricata,2010-09-02T13:23:25/2010-09-02T13:23:25,2010-09-02T13:23:25/2010-09-02T13:23:25,23.5,45.5,111319.49,1,Adult,Female,-781,-530055,NA,NA
