,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
1,850_417245,Lepidochelys olivacea,2013-05-22T05:14:11/2013-05-22T09:10:56,2013-05-22T05:14:11/2013-05-22T09:10:56,15.5,64.5,111319.49,1,Adult,Female,3849,804670,27.64,36.44
2,850_227248,Lepidochelys olivacea,2012-05-28T09:44:25/2012-05-28T16:55:17,2012-05-28T09:44:25/2012-05-28T16:55:17,5.5,62.5,111319.49,1,Adult,Female,3514,1125007,29.09,35.6
3,1828_1179805,Lepidochelys olivacea,2008-05-19T08:15:01/2008-05-27T16:41:10,2008-05-19T08:15:01/2008-05-27T16:41:10,24.5,56.5,111319.49,1,Adult,Female,-58,-8562,NA,NA
4,1828_1179003,Lepidochelys olivacea,2008-06-18T00:41:45/2008-06-18T00:41:45,2008-06-18T00:41:45/2008-06-18T00:41:45,25.5,55.5,111319.49,1,Adult,Female,-1,151,NA,NA
5,1828_1179013,Lepidochelys olivacea,2008-06-20T12:56:21/2008-06-22T12:33:00,2008-06-20T12:56:21/2008-06-22T12:33:00,26.5,54.5,111319.49,1,Adult,Female,25,10239,27.98,37.47
6,1828_1177577,Lepidochelys olivacea,2008-07-06T21:31:05/2008-07-11T03:31:00,2008-07-06T21:31:05/2008-07-11T03:31:00,17.5,58.5,111319.49,1,Adult,Female,3293,179173,26.75,36.18
7,1828_1179495,Lepidochelys olivacea,2008-06-15T16:46:03/2008-08-12T12:24:44,2008-06-15T16:46:03/2008-08-12T12:24:44,24.5,63.5,111319.49,1,Adult,Female,2419,76246,27.25,36.65
8,1828_1180420,Lepidochelys olivacea,2008-05-27T20:04:17/2009-01-07T06:32:50,2008-05-27T20:04:17/2009-01-07T06:32:50,25.5,56.5,111319.49,2,Adult,Female,87,13077,28.48,36.85
9,1828_1179748,Lepidochelys olivacea,2008-05-05T14:35:24/2008-05-23T17:39:42,2008-05-05T14:35:24/2008-05-23T17:39:42,22.5,59.5,111319.49,3,Adult,Female,-65,-8319,NA,NA
10,1828_1180755,Lepidochelys olivacea,2008-05-27T20:04:21/2009-07-06T09:01:46,2008-05-27T20:04:21/2009-07-06T09:01:46,26.5,56.5,111319.49,2,Adult,Female,64,926,27.98,36.95
11,850_227246,Lepidochelys olivacea,2012-05-25T06:56:52/2012-05-25T18:46:48,2012-05-25T06:56:52/2012-05-25T18:46:48,5.5,63.5,111319.49,1,Adult,Female,3909,1014807,29.15,35.56
12,1828_1177853,Lepidochelys olivacea,2008-09-05T00:25:09/2008-09-26T23:09:37,2008-09-05T00:25:09/2008-09-26T23:09:37,20.5,61.5,111319.49,1,Adult,Female,3469,246530,26.89,36.33
13,1828_1180415,Lepidochelys olivacea,2008-05-26T20:12:34/2009-01-01T01:36:47,2008-05-26T20:12:34/2009-01-01T01:36:47,26.5,57.5,111319.49,2,Adult,Female,-838,-40947,NA,NA
14,802_922467,Lepidochelys olivacea,2017-05-12T07:57:51/2017-05-12T09:42:21,2017-05-12T07:57:51/2017-05-12T09:42:21,25.5,55.5,111319.49,1,Adult,Female,-1,151,NA,NA
15,1828_1177876,Lepidochelys olivacea,2008-09-28T06:09:26/2008-09-30T19:56:54,2008-09-28T06:09:26/2008-09-30T19:56:54,21.5,60.5,111319.49,1,Adult,Female,3138,100647,26.61,36.38
16,1828_1178096,Lepidochelys olivacea,2008-12-04T05:31:45/2008-12-07T10:23:07,2008-12-04T05:31:45/2008-12-07T10:23:07,17.5,55.5,111319.49,1,Adult,Female,742,10310,25.66,35.75
17,1828_1178070,Lepidochelys olivacea,2008-06-24T05:24:33/2008-11-25T09:27:55,2008-06-24T05:24:33/2008-11-25T09:27:55,18.5,57.5,111319.49,1,Adult,Female,117,48734,25.77,36.11
18,1828_1181697,Lepidochelys olivacea,2008-04-01T16:36:58/2008-12-01T16:04:50,2008-04-01T16:36:58/2008-12-01T16:04:50,20.5,57.5,111319.49,6,Adult,Female,-51,-46385,NA,NA
19,1828_1179293,Lepidochelys olivacea,2008-05-26T03:54:37/2008-05-26T05:19:15,2008-05-26T03:54:37/2008-05-26T05:19:15,23.5,60.5,111319.49,1,Adult,Female,3352,128960,27.17,36.65
20,1828_1179724,Lepidochelys olivacea,2008-04-01T05:32:00/2009-01-24T21:40:39,2008-04-01T05:32:00/2009-01-24T21:40:39,21.5,58.5,111319.49,4,Adult,Female,-147,-59307,NA,NA
21,1828_1177706,Lepidochelys olivacea,2008-09-02T02:40:12/2008-09-05T08:31:49,2008-09-02T02:40:12/2008-09-05T08:31:49,20.5,60.5,111319.49,1,Adult,Female,3411,158589,26.72,36.31
22,1828_1180734,Lepidochelys olivacea,2008-06-09T08:48:22/2009-06-25T09:59:47,2008-06-09T08:48:22/2009-06-25T09:59:47,26.5,55.5,111319.49,2,Adult,Female,5,9927,27.88,37.17
23,1828_1181273,Lepidochelys olivacea,2008-05-04T16:13:24/2008-11-27T16:03:58,2008-05-04T16:13:24/2008-11-27T16:03:58,19.5,58.5,111319.49,4,Adult,Female,859,74943,26.03,36.22
24,1828_1179432,Lepidochelys olivacea,2008-05-26T09:11:58/2008-07-20T03:24:26,2008-05-26T09:11:58/2008-07-20T03:24:26,23.5,61.5,111319.49,1,Adult,Female,3333,170650,27.01,36.59
25,1828_1179789,Lepidochelys olivacea,2008-05-14T22:50:20/2008-05-23T13:10:52,2008-05-14T22:50:20/2008-05-23T13:10:52,24.5,57.5,111319.49,1,Adult,Female,1465,69266,28.42,36.81
26,1828_1179762,Lepidochelys olivacea,2008-05-10T10:43:18/2008-05-15T14:32:42,2008-05-10T10:43:18/2008-05-15T14:32:42,23.5,58.5,111319.49,2,Adult,Female,-112,-13462,NA,NA
27,1828_1178085,Lepidochelys olivacea,2008-11-30T13:25:23/2008-12-03T08:21:12,2008-11-30T13:25:23/2008-12-03T08:21:12,17.5,56.5,111319.49,1,Adult,Female,451,15644,25.99,36.05
28,1828_1178078,Lepidochelys olivacea,2008-11-21T18:25:24/2008-11-29T15:14:29,2008-11-21T18:25:24/2008-11-29T15:14:29,18.5,56.5,111319.49,1,Adult,Female,-32,-13549,NA,NA
29,1828_1180819,Lepidochelys olivacea,2008-05-26T05:19:18/2008-05-26T05:19:18,2008-05-26T05:19:18/2008-05-26T05:19:18,19.5,59.5,111319.49,1,Adult,Female,3344,113652,26.66,36.26
30,1828_1177600,Lepidochelys olivacea,2008-07-02T20:53:54/2008-07-15T21:21:48,2008-07-02T20:53:54/2008-07-15T21:21:48,18.5,58.5,111319.49,1,Adult,Female,3360,88565,26.63,36.22
31,1828_1179291,Lepidochelys olivacea,2008-05-24T04:16:32/2008-05-25T17:02:24,2008-05-24T04:16:32/2008-05-25T17:02:24,22.5,60.5,111319.49,1,Adult,Female,3013,68413,26.71,36.52
32,1828_1179318,Lepidochelys olivacea,2008-05-28T13:59:29/2008-05-28T19:42:16,2008-05-28T13:59:29/2008-05-28T19:42:16,23.5,62.5,111319.49,1,Adult,Female,3327,177621,27.12,36.59
33,1828_1177796,Lepidochelys olivacea,2008-09-12T09:07:00/2008-09-18T21:15:21,2008-09-12T09:07:00/2008-09-18T21:15:21,19.5,61.5,111319.49,1,Adult,Female,3595,288225,26.99,36.3
34,1828_1179765,Lepidochelys olivacea,2008-05-14T10:51:29/2008-05-14T15:52:06,2008-05-14T10:51:29/2008-05-14T15:52:06,23.5,57.5,111319.49,1,Adult,Female,-203,-34203,NA,NA
35,1828_1179453,Lepidochelys olivacea,2008-07-12T12:48:26/2008-07-25T09:42:05,2008-07-12T12:48:26/2008-07-25T09:42:05,24.5,61.5,111319.49,1,Adult,Female,1811,62592,27.25,36.65
36,1828_1180414,Lepidochelys olivacea,2008-05-22T13:25:52/2008-12-31T17:30:28,2008-05-22T13:25:52/2008-12-31T17:30:28,25.5,57.5,111319.49,2,Adult,Female,70,27234,28.15,36.72
37,1828_1178906,Lepidochelys olivacea,2008-05-14T17:31:10/2008-05-14T17:31:10,2008-05-14T17:31:10/2008-05-14T17:31:10,24.5,59.5,111319.49,1,Adult,Female,1920,99544,27.66,36.72
38,1828_1178934,Lepidochelys olivacea,2008-05-18T08:32:41/2008-05-21T16:12:35,2008-05-18T08:32:41/2008-05-21T16:12:35,25.5,58.5,111319.49,1,Adult,Female,53,9779,27.85,36.63
39,1828_1179751,Lepidochelys olivacea,2008-05-09T13:57:13/2008-05-15T08:51:12,2008-05-09T13:57:13/2008-05-15T08:51:12,23.5,59.5,111319.49,2,Adult,Female,3272,61214,27.73,36.73
40,1828_1181291,Lepidochelys olivacea,2008-04-19T01:11:41/2008-11-26T22:51:14,2008-04-19T01:11:41/2008-11-26T22:51:14,19.5,57.5,111319.49,3,Adult,Female,-143,-20946,NA,NA
41,1828_1179239,Lepidochelys olivacea,2008-03-29T05:09:50/2009-02-05T20:52:08,2008-03-29T05:09:50/2009-02-05T20:52:08,20.5,59.5,111319.49,5,Adult,Female,2536,55976,26.4,36.28
42,580_1301571,Lepidochelys olivacea,2011-02-25T06:02:47/2011-02-25T06:02:47,2011-02-25T06:02:47/2011-02-25T06:02:47,20.5,48.5,NA,1,Adult,Female,-342,-509247,NA,NA
43,1828_1177865,Lepidochelys olivacea,2008-09-26T10:10:54/2008-09-27T22:37:38,2008-09-26T10:10:54/2008-09-27T22:37:38,21.5,61.5,111319.49,1,Adult,Female,3128,192201,26.78,36.38
44,850_417240,Lepidochelys olivacea,2013-05-18T05:14:06/2013-05-21T04:00:56,2013-05-18T05:14:06/2013-05-21T04:00:56,14.5,64.5,111319.49,1,Adult,Female,3954,832164,27.74,36.38
45,1828_1179591,Lepidochelys olivacea,2008-05-29T05:52:23/2008-09-17T14:34:27,2008-05-29T05:52:23/2008-09-17T14:34:27,24.5,62.5,111319.49,1,Adult,Female,2251,67282,27.25,36.65
46,1828_1178919,Lepidochelys olivacea,2008-05-16T04:21:27/2008-05-18T02:49:28,2008-05-16T04:21:27/2008-05-18T02:49:28,24.5,58.5,111319.49,1,Adult,Female,2104,80547,28.14,36.78
47,1828_1179607,Lepidochelys olivacea,2008-06-02T05:48:16/2008-09-23T09:48:54,2008-06-02T05:48:16/2008-09-23T09:48:54,25.5,62.5,111319.49,1,Adult,Female,-100,-26012,NA,NA
48,1828_1181638,Lepidochelys olivacea,2008-03-26T13:13:07/2009-01-25T21:21:08,2008-03-26T13:13:07/2009-01-25T21:21:08,20.5,58.5,111319.49,9,Adult,Female,-1,-3895,26.03,35.94
49,850_227250,Lepidochelys olivacea,2012-05-31T07:27:04/2012-05-31T10:19:55,2012-05-31T07:27:04/2012-05-31T10:19:55,5.5,61.5,111319.49,1,Adult,Female,2758,1094331,29.01,35.63
50,1828_1179733,Lepidochelys olivacea,2008-03-30T17:31:59/2009-02-04T10:00:03,2008-03-30T17:31:59/2009-02-04T10:00:03,21.5,59.5,111319.49,6,Adult,Female,18,11591,25.95,36.21
51,1828_1179559,Lepidochelys olivacea,2008-06-14T05:12:06/2008-09-05T16:53:16,2008-06-14T05:12:06/2008-09-05T16:53:16,25.5,63.5,111319.49,1,Adult,Female,-52,-16443,NA,NA
