"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
49450059,-179.5,-16.7,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2006-01-01","2006-01-01",1,,1,,,,"5117:469:374","POLYGON((-179.4 -16.7,-179.4 -16.8,-179.5 -16.8,-179.5 -16.7,-179.4 -16.7))"
49450058,-179.3,-16.3,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2006-01-01","2006-01-01",1,55,1,,,,"5117:469:132","POLYGON((-179.2 -16.3,-179.2 -16.4,-179.3 -16.4,-179.3 -16.3,-179.2 -16.3))"
40059319,-178.4,-30.2,"Graham Edgar, Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS)","Chelonia mydas","103152531","2012-12-30","2012-12-30",1,1,1,,,,"5317:208:124","POLYGON((-178.4 -30.2,-178.4 -30.3,-178.5 -30.3,-178.5 -30.2,-178.4 -30.2))"
40060818,-178.0,-29.3,"Kevin Mackay, NIWA","Chelonia mydas","103152536","1905-05-23","1992-05-01",2,,1,,,,"5217:497:229","POLYGON((-177.9 -29.2,-177.9 -29.3,-178 -29.3,-178 -29.2,-177.9 -29.2))"
207673,-177.2,-20.8,"Lamont-Doherty / LGL","Chelonia mydas","511","2009-03-03","2009-03-03",1,1,1,,,,"5217:207:381","POLYGON((-177.1 -20.8,-177.1 -20.9,-177.2 -20.9,-177.2 -20.8,-177.1 -20.8))"
49973136,-176.5,-43.3,"Aub Strydom","Chelonia mydas","2253","2023-04-08","2023-04-08",1,1,1,,,,"5417:236:235","POLYGON((-176.5 -43.3,-176.5 -43.4,-176.6 -43.4,-176.6 -43.3,-176.5 -43.3))"
49450072,-174.7,-20.0,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2008-01-01","2008-01-01",2,110,1,,,,"5217:104:207","POLYGON((-174.7 -20,-174.7 -20.1,-174.8 -20.1,-174.8 -20,-174.7 -20))"
49450001,-174.5,-4.7,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2002-01-01","2002-01-01",1,55,1,,,,"5017:144:465","POLYGON((-174.5 -4.6,-174.5 -4.7,-174.6 -4.7,-174.6 -4.6,-174.5 -4.6))"
40059318,-174.3,-18.0,"Graham Edgar, Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS)","Chelonia mydas","103152531","2012-09-04","2012-09-04",1,1,1,,,,"5117:384:103","POLYGON((-174.3 -18,-174.3 -18.1,-174.4 -18.1,-174.4 -18,-174.3 -18))"
49449998,-174.1,-3.6,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2002-01-01","2002-01-01",1,55,1,,,,"5017:134:351","POLYGON((-174.1 -3.5,-174.1 -3.6,-174.2 -3.6,-174.2 -3.5,-174.1 -3.5))"
49450057,-174.0,-18.8,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2009-01-01","2009-01-01",1,55,1,,,,"5117:384:370","POLYGON((-174 -18.7,-174 -18.8,-174.1 -18.8,-174.1 -18.7,-174 -18.7))"
49451929,-174.0,26.1,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2010-01-01","2010-01-01",1,55,1,,,,"7217:363:209","POLYGON((-173.9 26,-174 26,-174 26.1,-173.9 26.1,-173.9 26))"
49450002,-172.5,-8.5,"The State of the World's Sea Turtles Team","Chelonia mydas","545","1983-01-01","1983-01-01",1,,1,,,,"5017:382:354","POLYGON((-172.4 -8.5,-172.4 -8.6,-172.5 -8.6,-172.5 -8.5,-172.4 -8.5))"
49450000,-172.2,-4.5,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2002-01-01","2002-01-01",1,55,1,,,,"5017:142:141","POLYGON((-172.1 -4.4,-172.1 -4.5,-172.2 -4.5,-172.2 -4.4,-172.1 -4.4))"
49450004,-171.8,-9.2,"The State of the World's Sea Turtles Team","Chelonia mydas","545","1983-01-01","1983-01-01",1,,1,,,,"5017:391:217","POLYGON((-171.7 -9.1,-171.7 -9.2,-171.8 -9.2,-171.8 -9.1,-171.7 -9.1))"
49451928,-171.7,25.8,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2010-01-01","2010-01-01",1,55,1,,,,"7217:351:477","POLYGON((-171.7 25.7,-171.8 25.7,-171.8 25.8,-171.7 25.8,-171.7 25.7))"
49449994,-171.6,-2.9,"The State of the World's Sea Turtles Team","Chelonia mydas","545","1970-01-01","1970-01-01",1,300,1,,,,"5017:121:486","POLYGON((-171.6 -2.8,-171.6 -2.9,-171.7 -2.9,-171.7 -2.8,-171.6 -2.8))"
49449997,-171.5,-3.6,"The State of the World's Sea Turtles Team","Chelonia mydas","545","2002-01-01","2002-01-01",1,55,1,,,,"5017:131:455","POLYGON((-171.5 -3.5,-171.5 -3.6,-171.6 -3.6,-171.6 -3.5,-171.5 -3.5))"
