,decimalLatitude,decimalLongitude,scientificName,id,eventDate,dateIdentified,coordinateUncertaintyInMeters
1,0.41680554,55.883472,Carcharhinus falciformis,00011820-f600-49d5-ac9e-28860631dae2,NA,NA,NA
2,15.3333,52.2833,Subeucalanus crassus,00040fbd-796e-46b3-944d-92d5667df9b8,1986-10-13T06:00:00Z,NA,NA
3,12.45,45,Euterpina acutifrons,0006a24c-aab4-4637-bb26-7df07bd552d8,1969-08-20T14:00:00Z,NA,NA
4,14.9167,52.5,Subeucalanus subcrassus,0008c39a-2e89-4138-baf9-5d9d858758bc,1989-01-09T12:30:00Z,NA,NA
5,13.4667,48.7833,Parvocalanus elegans,0009e172-f521-498a-b39a-a5a9e59b9378,1989-07-31T18:13:12Z,NA,NA
6,14.4833,52.5833,Lucicutia clausi,000dbb5f-5590-4539-9438-3bbe59df9524,1989-09-30T19:27:00Z,NA,NA
7,12.1833,44.8,Subeucalanus subcrassus,000e881a-c0c2-4f12-a1f2-06582c28c87e,1963-05-30T12:00:00Z,NA,NA
8,13.8833,48.5833,Subeucalanus crassus,000f15a8-51bd-4e64-8435-f2ecea77ae32,1965-03-05T20:00:00Z,NA,NA
9,22.425,59.53888889,Neopomacentrus cyanomos,0019ca35-c0b3-454d-a086-1d89b7d95aea,1981-10-08,NA,NA
10,11.756,43.1052,Pygoplites diacanthus,001a52ba-78c3-4fb0-9f14-c25eed27fc26,NA,NA,NA
11,12.3333,43.6167,Subeucalanus subcrassus,001eb0bb-30e9-4d07-8ccb-80f13c842fed,1963-05-16T22:30:00Z,NA,NA
12,14.8833,52.4667,Euterpina acutifrons,001ec012-391c-489b-bb5d-82b5915b1c6d,1989-12-21T19:40:12Z,NA,NA
13,12.85,53.2167,Subeucalanus subcrassus,002397ad-5d05-4223-ad6a-f86a437a619d,1989-12-20T20:45:00Z,NA,NA
14,12.4333,46,Parvocalanus latus,00245611-8918-4a58-b956-1ca45dab2565,1989-12-13T07:28:48Z,NA,NA
15,24.5833,61.5833,Parvocalanus latus,00261cf7-4559-40d1-93b7-9f17fc00926d,1968-09-08T12:00:00Z,NA,NA
16,28.2167,49.2333,Euterpina acutifrons,002f1ebc-1648-411b-af27-5a2f085e5fd0,1968-07-05T08:00:00Z,NA,NA
17,17,61.3333,Parvocalanus latus,002fb081-47e3-406e-a8c3-d95e902ff715,1980-03-17T18:00:00Z,NA,NA
18,26.5333,52.6333,Temora turbinata,0030b1f4-4796-47d0-adda-b9e8eec87b4f,1968-07-08T12:00:00Z,NA,NA
19,21.25,59.0400009155,Naria turdus,003154f4-6da2-42b6-9f08-cc9dbe5fbe55,NA,NA,NA
20,11.213889122,60.7888870239,Pomacanthus paru,00319dd2-9972-4eec-95fd-7b1105aa8c88,1968-02-14T12:00:00Z,NA,NA
21,1.0168055,52.08347,Carcharhinus falciformis,0032c736-c831-455e-8da2-6558180f160c,NA,NA,NA
22,1.9001389,46.766804,Carcharhinus falciformis,00343168-05e5-4628-92c9-4af6ea0640cf,NA,NA,NA
23,6.3501387,54.550137,Platax teira,00386fe6-6cd5-46e2-8a19-c63af4c26dbf,NA,NA,NA
