sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2011-04-12T19:12:41Z,6.40193,59.87883,Juvenile,3051,28.67,35.74,Loggerhead
Chelonia mydas,2018-03-31T06:44:00Z,24.508,53.201,NA,14,27.96,38.71,Green
Chelonia mydas,2019-05-28T12:15:00Z,24.577,53.083,NA,2,27.93,38.65,Green
Caretta caretta,2011-04-11T04:03:19Z,16.05778,54.28696,Juvenile,2736,26.92,36.1,Loggerhead
Caretta caretta,2011-03-24T14:33:23Z,16.52469,53.83602,Juvenile,2030,26.68,36.05,Loggerhead
Chelonia mydas,2018-04-05T23:33:00Z,24.549,53.092,NA,2,27.94,38.67,Green
Chelonia mydas,2017-04-30T13:38:00Z,24.367,52.949,NA,4,27.95,38.57,Green
Chelonia mydas,2016-08-12T03:05:00Z,25.743,55.837,NA,4,NA,NA,Green
Chelonia mydas,2018-03-26T06:48:00Z,24.574,53.044,NA,2,27.93,38.65,Green
Caretta caretta,2012-05-16T13:17:12Z,16.09641,54.71895,Juvenile,2833,26.88,36.1,Loggerhead
Caretta caretta,2011-03-01T14:10:04Z,14.66338,52.48091,Juvenile,2554,27.08,36.04,Loggerhead
Chelonia mydas,2017-05-12T11:51:00Z,24.578,53.015,NA,4,27.93,38.65,Green
Chelonia mydas,2018-04-17T11:59:00Z,24.372,53.199,NA,2,28,38.67,Green
Chelonia mydas,2016-11-20T11:19:00Z,24.056,53.663,NA,22,27.98,38.76,Green
Caretta caretta,2012-05-06T06:48:36Z,15.7829,55.29391,Juvenile,3403,26.92,36.09,Loggerhead
Chelonia mydas,2016-08-17T23:20:00Z,24.627,53.04,NA,2,27.91,38.67,Green
Caretta caretta,2012-01-08T15:34:27Z,9.95766,56.88604,Juvenile,3518,27.42,35.92,Loggerhead
Chelonia mydas,2016-09-04T10:44:00Z,25.701,55.6,NA,21,28.2,38.73,Green
