"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"75",39.82741,-3.82979,2012,"Chelonia mydas",1.11,-4,NA,NA
"76",39.83857,-3.84885,2012,"Chelonia mydas",1.11,52,27.17,34.8
"77",39.81989,-3.84417,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"78",39.82191,-3.84151,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"79",39.8232,-3.83576,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"80",39.83441,-3.81657,2012,"Chelonia mydas",1.11,13,27.16,34.82
"81",39.79355,-3.88762,2012,"Chelonia mydas",1.11,-13,27.19,34.79
"82",39.80905,-3.84291,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"83",39.85353,-3.65182,2012,"Chelonia mydas",1.11,-22,27.09,34.81
"84",39.81242,-3.91584,2012,"Chelonia mydas",1.11,129,27.19,34.79
"85",39.86396,-3.66353,2012,"Chelonia mydas",1.11,-20,27.09,34.81
"86",39.81139,-3.84309,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"87",39.82745,-3.82971,2012,"Chelonia mydas",1.11,-4,NA,NA
"88",39.81903,-3.8368,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"89",40.01501,-3.44397,2012,"Chelonia mydas",1.11,222,27.12,34.82
"90",40.03143,-3.40962,2012,"Chelonia mydas",1.11,151,27.1,34.82
"91",39.83421,-3.83241,2012,"Chelonia mydas",1.11,16,27.16,34.82
"92",39.83866,-3.83171,2012,"Chelonia mydas",1.11,16,27.16,34.82
"93",39.85135,-3.82218,2012,"Chelonia mydas",1.11,48,27.16,34.82
"94",39.82463,-3.81779,2012,"Chelonia mydas",1.11,-15,NA,NA
"95",39.79356,-3.89381,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"96",39.84402,-3.82603,2012,"Chelonia mydas",1.11,29,27.16,34.82
"97",39.72716,-4.00841,2012,"Chelonia mydas",1.11,-1,27.21,34.77
"98",39.75651,-3.95795,2012,"Chelonia mydas",1.11,-12,27.21,34.78
"99",39.81792,-3.87883,2012,"Chelonia mydas",1.11,63,27.19,34.79
"100",40.09859,-3.33357,2012,"Chelonia mydas",1.11,6,27.07,34.83
"101",39.82887,-3.81595,2012,"Chelonia mydas",1.11,-12,NA,NA
"102",39.82558,-3.86657,2012,"Chelonia mydas",1.11,94,27.19,34.79
"103",39.8153,-3.89776,2012,"Chelonia mydas",1.11,34,27.19,34.79
"104",39.82866,-3.83139,2012,"Chelonia mydas",1.11,-4,NA,NA
"105",39.82617,-3.82738,2012,"Chelonia mydas",1.11,-4,NA,NA
"106",39.82855,-3.82949,2012,"Chelonia mydas",1.11,-4,NA,NA
"107",39.88874,-3.80689,2012,"Chelonia mydas",1.11,355,27.16,34.82
"108",39.82135,-3.80955,2012,"Chelonia mydas",1.11,-18,NA,NA
"109",40.00154,-3.47946,2012,"Chelonia mydas",1.11,251,27.12,34.82
"110",39.82625,-3.83232,2012,"Chelonia mydas",1.11,-4,NA,NA
"111",39.83037,-3.82728,2012,"Chelonia mydas",1.11,-4,NA,NA
"112",39.95693,-3.4995,2012,"Chelonia mydas",1.11,49,27.1,34.8
"113",39.83886,-3.80841,2012,"Chelonia mydas",1.11,13,27.16,34.82
"114",39.82287,-3.83306,2012,"Chelonia mydas",1.11,-15,NA,NA
"115",40.01777,-3.42823,2012,"Chelonia mydas",1.11,200,27.12,34.82
"116",39.82704,-3.84616,2012,"Chelonia mydas",1.11,20,27.19,34.79
"117",39.83329,-3.79991,2012,"Chelonia mydas",1.11,-13,NA,NA
"118",39.83194,-3.83513,2012,"Chelonia mydas",1.11,9,27.19,34.79
"119",39.82629,-3.82759,2012,"Chelonia mydas",1.11,-4,NA,NA
